Title,Date,Age,Interests,Tags,Gender,Country,Entities,Emotions,Names,"Potential Visitors"
"Fishing boat docked at NYC pier begins sinking with 11 passengers on board after dark: cops","Aug 07, 2025 06:58 AM",25-34,"Arts & Entertainment, Business & Industrial, Health & Fitness, News, Sports","Emergency, Rescue, Fishing, NYC",Male,us,"Fishing Boat, Brooklyn Pier, Emergency Responders",Anticipation,"NYPD, FDNY",3
"New Addition to Trump’s Rose Garden Is Vastly Similar to Mar-a-Lago","Aug 07, 2025 06:12 AM",35-44,"Arts & Entertainment, Business & Industrial, News, Politics, People & Society","Politics, Trump, Rose Garden, Mar-a-Lago",Male,us,"Trump, Rose Garden, Mar-a-Lago",Anticipation,"Donald Trump",3
"Blaine man's giant backyard guitar honors rock 'n' roll legends","Aug 07, 2025 05:48 AM",25-34,"Arts & Entertainment, Hobbies & Leisure, People & Society, Home & Garden, News","Art, Music, Tribute, Community",Male,us,"Blaine, Minnesota, guitar, rock 'n' roll",Happiness,"Erik Lund, Bob Dylan, Jimmy Page, Randy Rhoads",3
"Butter made from carbon in Batavia tastes like the real thing","Aug 07, 2025 04:57 AM",25-34,"Food & Drink, Business & Industrial, Health & Fitness, Science, Technology","Sustainability, Innovation, Food Technology, Climate Change",Female,us,"Savor, Butter, Climate Change, Sustainability",Anticipation,"Kathleen Alexander, Jordan Beiden-Charles, Bill Gates, Tara Molina",3
"Former member of rock band Boston now helping heal patients with the power of music","Aug 07, 2025 04:42 AM",35-44,"Arts & Entertainment, Health & Fitness, People & Society, News, Hobbies & Leisure","Music Therapy, Nonprofit, Healing, Veterans",Female,us,"Harmony and Healing, Music, Veterans Affairs",Happiness,"David Victor, Mancy Gant, Norman Kimball, Sharon Chin",3
"Wild pigs in California develop &#8216;bright blue&#8217; skin after exposure to pesticides with rat poison: officials","Aug 07, 2025 02:57 AM",25-34,"Health & Fitness, News, People & Society, Science, Environment","Wildlife, Pesticides, Environmental Impact, California",Male,us,"California Department of Fish and Wildlife, Diphacinone, Urban Trapping Wildlife Control",Surprise,"Dan Burton",3
"Long Island's historic Oheka Castle files for bankruptcy","Aug 07, 2025 01:49 AM",25-34,"Arts & Entertainment, Business & Industrial, Health & Fitness, News, Travel","Bankruptcy, Historic Places, Weddings, Long Island",Female,us,"Oheka Castle, Long Island, Chapter 11 bankruptcy",Empathy,"Gary Melius, Steven Kessler, Ashley Pastore, Jennifer Bisram",3
"Former Superman actor says he joined ICE &#8216;to help save America&#8217; in support of Trump&#8217;s immigration crackdown","Aug 06, 2025 10:57 PM",25-34,"Arts & Entertainment, Business & Industrial, Law & Government, News, People & Society","Immigration, Dean Cain, ICE, Trump",Male,us,"ICE, Immigration, Dean Cain",Anticipation,"Dean Cain, Kristi Noem",3
"Trump Targets Spouses of US Citizens in Green Card Crackdown","Aug 06, 2025 10:11 PM",25-34,"Business & Industrial, Law & Government, News, People & Society, Politics","Politics, Immigration, Policy, Trump",Male,us,"Green Card, Immigration, US Citizens",Anger,"Donald Trump",3
"How NYC is responding to the deadly Legionnaires' disease outbreak","Aug 06, 2025 09:48 PM",25-34,"Health & Fitness, News, People & Society, Law & Government, Science","Legionnaires' disease, Outbreak, Public Health, NYC",Male,us,"Legionnaires' disease, New York City, cooling towers",Concern,"Eric Adams, Dr. Aaron Glatt, Doug Williams",3
"NYC Campaign Finance Board denies matching funds to Mayor Eric Adams","Aug 06, 2025 09:48 PM",25-34,"News, Politics, Business & Industrial, People & Society, Law & Government","Election, Campaign Finance, Eric Adams, NYC",Male,us,"Campaign Finance Board, NYC Mayor, Election",Anger,"Eric Adams, Zohran Mamdani, Andrew Cuomo, Curtis Sliwa",3
"2025 hurricane season forecast holds steady, CSU researchers say","Aug 06, 2025 09:40 PM",25-34,"News, Science, Health & Fitness, Business & Industrial, Travel","Hurricane, Weather, Forecast, Climate",Male,us,"Hurricane Season, Tropical Storm, Atlantic Ocean",Anticipation,"Colorado State University, AccuWeather",3
"Detroiters react to Sheffield, Kinloch mayoral election","Aug 06, 2025 09:32 PM",25-34,"News, People & Society, Politics, Business & Industrial, Hobbies & Leisure","Election, Local News, Politics, Community",Male,us,"Sheffield, Kinloch, Detroit",Anticipation,"Mayor, Residents, Candidates",3
"Trump Orders New Census in Election Power Grab","Aug 07, 2025 02:14 PM",35-44,"News, Politics, Business & Finance, Law & Government, People & Society","Politics, Census, Election, Trump",Male,us,"Census, Election, Donald Trump",Anger,"Donald Trump",4
"Rain returns to South Florida, bringing relief from dangerous heat","Aug 07, 2025 01:43 PM",25-34,"News, Health & Fitness, Sports, Hobbies & Leisure, Travel","Weather, Storms, South Florida, Meteorology",Female,us,"South Florida, Tropical Storm Dexter, CBS4 News",Relief,"Lissette Gonzalez",4
"Heat wave continues in parts of Southern California bringing scorching temperatures","Aug 07, 2025 01:41 PM",25-34,"News, Health & Fitness, Lifestyle & Hobbies, Science, Travel","Heat Wave, Weather Advisory, Southern California, Temperature",Female,us,"Southern California, National Weather Service, Heat Risk",Anticipation,"Amber Lee, Chelsea Hylton",4
"Firefighter injured while responding to house fire on Chicago's West Side","Aug 07, 2025 12:59 PM",25-34,"News, Health & Fitness, People & Society, Business & Industrial, Arts & Entertainment","Firefighter, Injury, Chicago, House Fire",Male,us,"Chicago Fire Department, Austin neighborhood, CBS News",Concern,Elyssa,4
"Bozo tourist taunts bison at Yellowstone National Park: video","Aug 07, 2025 06:58 AM",25-34,"Arts & Entertainment, Health & Fitness, News, People & Society, Travel","Wildlife, National Park, Tourism, Safety",Male,us,"Yellowstone National Park, Bison, Tourist",Surprise,"Park Officials, Tourist",4
"Trump&#8217;s higher tariff rates hit goods from major US trading partners","Aug 07, 2025 06:58 AM",25-34,"Business & Industrial, Finance, News, Politics, Technology","Tariffs, Trade, Economy, Donald Trump",Male,us,"US trade, tariffs, global economy",Anticipation,"Donald Trump, Scott Bessent, William Reinsch",4
"Frustration erupts in Fairfield as neighbors push back against proposed homeless housing project","Aug 07, 2025 06:06 AM",25-34,"News, People & Society, Law & Government, Health & Fitness, Business & Industrial","Housing, Community Engagement, Homelessness, Local Government",Female,us,"Vista Ridge, Paradise Valley, Danco",Frustration,"Catherine Moy, Pam Bertani, Cameron Dart",4
"Rockaway looks to ease summer strain as tourism boom brings traffic, trash","Aug 07, 2025 05:50 AM",25-34,"Arts & Entertainment, Business & Industrial, Health & Fitness, News, Travel","Tourism, Community, Infrastructure, Environment",Female,us,"Rockaway Beach, NYC Parks Department, Jamaica Bay-Rockaway Parks Conservancy",Anticipation,"Felicia Johnson, Tyrone Frison, Delilah McBride, Dolores Orr, Selvena Brooks-Powers",4
"Plymouth to monitor tree health using AI","Aug 07, 2025 05:48 AM",25-34,"Business & Industrial, Health & Fitness, News, Technology, Home & Garden","AI, Tree Health, Urban Forestry, Plymouth",Male,us,"Plymouth, Greehill, tree preservation, Dallas, Las Vegas",Anticipation,"Conor Nolan, Paul Buck, Frankie McLister",4
"Denver shuts down property owner renting RVs, trailers to homeless","Aug 07, 2025 05:17 AM",25-34,"Business & Industrial, Health & Fitness, News, People & Society, Law & Government","Affordable Housing, Homelessness, Denver, Zoning Laws",Male,us,"Denver, Affordable Housing, RV Rentals",Empathy,"Kevin Dickson, Josh Quinn, Craig Arfsten",4
"Small plane lands on Elgin golf course","Aug 07, 2025 04:57 AM",25-34,"News, Health & Fitness, People & Society, Sports, Hobbies & Leisure","Emergency Landing, Aviation, Safety, Local News",Male,us,"Elgin, Highlands of Elgin, Federal Aviation Administration, National Transportation Safety Board",Relief,"Sara Tenenbaum",4
"One of San Francisco's ""Painted Ladies"" open as museum for fnnch's honey bear art","Aug 07, 2025 04:42 AM",25-34,"Arts & Entertainment, Hobbies & Leisure, Home & Garden, People & Society, Travel","Art, Museum, San Francisco, Street Art",Female,us,"Painted Ladies, Honey Bear, San Francisco",Happiness,"fnnch, Luciana Hernandez",4
"Coppell ISD installs panic buttons in classrooms under new Texas law","Aug 07, 2025 03:31 AM",25-34,"News, Education, Health & Fitness, People & Society, Law & Government","School Safety, Education Policy, Texas Law, Panic Buttons",Female,us,"Coppell ISD, Senate Bill 838, school safety",Trust,"Sara Balarin, Mark Bradford",4
"President Trump considering involvement in NYC mayor's race, report says","Aug 07, 2025 01:49 AM",25-34,"News, Politics, Business & Industrial, People & Society, Sports","Politics, Election, Trump, Cuomo",Male,us,"New York City, Mayor's Race, Donald Trump, Andrew Cuomo",Anticipation,"Donald Trump, Andrew Cuomo, Zohran Mamdani, Eric Adams, Marcia Kramer",4
"Don't expect Minnesota's ""Summer Glory Index"" to be high in 2025","Aug 07, 2025 01:48 AM",25-34,"Health & Fitness, News, Science, People & Society, Environment","Climate Change, Weather, Minnesota, Summer",Female,us,"Summer Glory Index, Minnesota Department of Natural Resources, Climate Change",Anticipation,"Kenny Blumenfeld, Susan Gulbrandson, Lisa",4
"MPCA could have alerted people about lead exposure sooner","Aug 07, 2025 01:48 AM",25-34,"Health & Fitness, News, Law & Government, People & Society, Environment","Pollution, Health Risk, Lead Exposure, Environmental Investigation",Female,us,"Minnesota Pollution Control Agency, Gopher Resource, Environmental Protection Agency",Anger,"Courtney Ahlers-Nelson, Jennifer Mayerle",4
"South Florida NABJ chapter wins Chapter of the Year at National Convention","Aug 07, 2025 01:41 AM",25-34,"Arts & Entertainment, Business & Industrial, News, People & Society, Hobbies & Leisure","Award, Journalism, Community, NABJ",Female,us,"National Association of Black Journalists, South Florida chapter, CBS News Miami",Happiness,"Chelsea Jones, Tania Francois, Jim Berry, Angel Gould",4
"Center Field Detroit offers two-day deep dive into HBCU culture and majorette movement","Aug 07, 2025 01:33 AM",18-24,"Arts & Entertainment, Hobbies & Leisure, People & Society, Sports, Education","HBCU, Culture, Majorette, Movement",Female,us,"HBCU, Majorette, Detroit",Happiness,N/A,4
"One woman in DPS paving the way for women and young girls in sports","Aug 07, 2025 01:16 AM",25-34,"Sports, Education, Health & Fitness, People & Society, Business & Industrial","Women in Sports, Leadership, Empowerment, Female Athletes",Female,us,"Denver Public Schools, Women in Sports Leadership program, Girls in the Game",Happiness,"Beth Hulac, Romi Bean, Jasmine Arenas",4
"Indiana's new ""Speedway Slammer"" ICE detention center draws backlash","Aug 07, 2025 12:56 AM",25-34,"Business & Industrial, Law & Government, News, People & Society, Politics","Immigration, Detention Center, Trump Administration, Indiana",Male,us,"Indiana, Immigration Detention Center, Trump Administration",Anger,"Kristi Noem, Tom Homan, Mike Braun",4
"Auditorium Theatre restoration uncovers historical treasure trove","Aug 07, 2025 12:56 AM",35-44,"Arts & Entertainment, Hobbies & Leisure, Home & Garden, News, People & Society","Restoration, History, Theatre, Chicago",Male,us,"Auditorium Theatre, Chicago Herald, Ballet Russe",Happiness,"Rich Regan",4
"Chicago Cubs are hosting Oktoberfest at Wrigley Field","Aug 07, 2025 12:56 AM",25-34,"Arts & Entertainment, Food & Drink, Sports, Hobbies & Leisure, People & Society","Oktoberfest, Chicago Cubs, Wrigley Field, Event",Female,us,"Chicago Cubs, Oktoberfest, Wrigley Field, Toyota Camry lot",Happiness,"Sara Tenenbaum",4
"Beverly named ""hottest"" ZIP code for home buyers in U.S.","Aug 07, 2025 12:53 AM",25-34,"Real Estate, Business & Industrial, People & Society, News, Travel","Real Estate, Housing Market, Massachusetts, Beverly",Female,us,"Beverly, Massachusetts, Realtor.com, housing market",Anticipation,"Donna Brady, Deborah Gardner Walker, Sal Dimercurio, Samantha Chaney",4
"Baltimore organizations try to keep the momentum going with overdose prevention","Aug 06, 2025 11:25 PM",25-34,"Health & Fitness, People & Society, News, Hobbies & Leisure, Business & Industrial","Overdose Prevention, Harm Reduction, Community Support, Drug Abuse",Female,us,"Pride Center of Maryland, Narcan, drug abuse resources",Empathy,"Jerome Scott, Jessica Collins",4
"Trump announces 100% tariff on semiconductors made outside the US in potential blow to domestic businesses","Aug 06, 2025 10:57 PM",35-44,"Business & Industrial, Finance, News, Technology, Law & Government","Tariff, Semiconductor, Trump, Economy",Male,us,"Tariff, Semiconductor, US Manufacturing",Anticipation,"Donald Trump, Tim Cook",4
"Don Jr.’s Ex-Mistress Weighs In on Fox’s Weird Sydney Sweeney-Barron Trump Fantasy","Aug 06, 2025 10:11 PM",25-34,"Arts & Entertainment, News, People & Society, Sports, Lifestyle & Hobbies","Celebrity, Politics",Female,us,"Fox News, Sydney Sweeney, Don Jr., Barron Trump",Surprise,"Sydney Sweeney, Don Jr., Barron Trump",4
"This is The Real Danger to Journalists In the West Wing","Aug 06, 2025 10:11 PM",25-34,"News, People & Society, Law & Government, Business & Industrial, Arts & Entertainment","Journalism, Politics, Media, Freedom of Speech",Male,us,"Journalism, West Wing, Freedom of Speech",Fear,"John Doe, Jane Smith",4
"Laura Loomer Reveals White House Clout Has Earned Her a New Nickname","Aug 06, 2025 10:11 PM",25-34,"Arts & Entertainment, News, People & Society, Politics, Lifestyle & Hobbies","Politics, Celebrity, Interview",Female,us,"White House, Laura Loomer, Politics",Anticipation,"Laura Loomer",4
"Harmar Township residents concerned about lack of fire hydrants","Aug 06, 2025 10:01 PM",25-34,"News, People & Society, Health & Fitness, Home & Garden, Law & Government","Fire Safety, Community Concerns, Local News, Emergency Services",Female,us,"Harmar Township, Fire Department, Emergency Services",Fear,"Christy Gaul, Evergreen Werner Hancock",4
"Over 9,000 San Fernando Valley customers face water outage as LADWP crews repair infrastructure","Aug 06, 2025 09:37 PM",25-34,"News, People & Society, Business & Industrial, Health & Fitness, Home & Garden","Water Outage, Infrastructure, Emergency Repair, LADWP",Female,us,"Los Angeles Department of Water and Power, Granada Hills, Porter Ranch",Concern,"Julie Sharp",4
"Metro LA to release limited-edition Nipsey Hussle TAP cards","Aug 06, 2025 09:37 PM",18-24,"Arts & Entertainment, People & Society, News, Sports, Hobbies & Leisure","Nipsey Hussle, TAP cards, Metro Los Angeles, Community Activism",Female,us,"Nipsey Hussle, Metro Los Angeles, Hyde Park Station",Happiness,"Nipsey Hussle, Chelsea Hylton",4
"Chicago hit by 1,000-year and 500-year floods less than three weeks apart","Aug 06, 2025 08:55 PM",25-34,"News, Science, Health & Fitness, Environment, People & Society","Climate Change, Weather, Flooding, Chicago",Male,us,"Chicago, National Weather Service, climate change",Concern,"Scott Lincoln",4
"Large police response reported at Mariano's in Western Springs, Illinois","Aug 06, 2025 08:55 PM",25-34,"News, People & Society, Law & Government, Health & Fitness, Sports","Breaking News, Police Response, Western Springs",Female,us,"Mariano's, Western Springs Police Department, CBS News Chicago",Anticipation,Elyssa,4
"Study in mice shows lithium could help treat Alzheimer's, Harvard team finds","Aug 06, 2025 08:52 PM",35-44,"Health & Fitness, Science, News, People & Society, Business & Industrial","Alzheimer's, Research, Lithium, Harvard",Female,us,"Alzheimer's disease, Harvard Medical School, lithium",Anticipation,"Dr. Bruce Yankner, Victoria D.",4
"Dangerous heat returns to North Texas, prompting a heat advisory to end the week","Aug 07, 2025 03:34 PM",25-34,"News, Health & Fitness, Science, Lifestyle & Hobbies, Travel","Weather, Heat Advisory, North Texas, Safety",Female,us,"North Texas, Weather, Heat Advisory",Anticipation,Brittany,5
"Trump to meet Putin &#8216;in coming days&#8217; with venue to be announced later, Kremlin says","Aug 07, 2025 10:58 AM",25-34,"News, Politics, Business & Industrial, People & Society, Health & Fitness","Trump, Putin, Ukraine, Summit",Male,us,"Trump, Putin, Ukraine, negotiations",Anticipation,"Vladimir Putin, Donald Trump, Volodymyr Zelensky",5
"Petition seeks to name Minn. State Office Building after Rep. Hortman","Aug 07, 2025 05:48 AM",25-34,"People & Society, Law & Government, News, Arts & Entertainment, Hobbies & Leisure","Petition, Melissa Hortman, Minnesota, Memorial",Female,us,"Minnesota State Office Building, Petition, Education Funding",Empathy,"Melissa Hortman, Jodi Anderson-Wolhaupter, John Wolhaupter, Ubah Ali",5
"Filmmakers, SF Japantown museum reflect on 80-years since first Atomic Bomb","Aug 07, 2025 04:42 AM",25-34,"Arts & Entertainment, News, People & Society, Science, History","Documentary, Atomic Bomb, History, World War II",Female,us,"Atomic Echoes, National Japanese American Historical Society, Hiroshima, Nagasaki",Empathy,"Rosalyn Tonai, Victoria Kelly, Karin Tanabe, Jack Dairiki",5
"Hiker stranded at &#8216;center of landslide&#8217; in Italian Dolomites rescued by helicopter &#8212; and hit with $16K bill after ignoring warnings","Aug 07, 2025 02:09 AM",35-44,"Health & Fitness, News, Travel, Sports, People & Society","Rescue, Hiking, Safety, Italy",Male,us,"Italian Dolomites, Helicopter Rescue, Emergency Services",Fear,CNSAS,5
"In Brooklyn, doulas work to change Black maternal health outcomes","Aug 07, 2025 01:49 AM",25-34,"Health & Fitness, People & Society, News, Business & Industrial, Hobbies & Leisure","Maternal Health, Doula Services, Community Support, Black Women",Female,us,"Caribbean Women's Health Association, Doula Services, Maternal Health",Empathy,"Ana Nunez, Cristian Avila, Raven Lopez, Reshonah Williams, Dadreama Sandiford, Cheryl Hall, Marlyn Williams",5
"Minneapolis fire stations install saunas for their crews","Aug 07, 2025 01:48 AM",35-44,"Health & Fitness, Business & Industrial, News, People & Society, Lifestyle & Hobbies","Health, Firefighters, Saunas, Occupational Safety",Male,us,"Minneapolis Fire Department, Minneapolis Fire Foundation, cancer",Empathy,"Steve Shapira, CJ Schertner, Joe Van Ryn",5
